"ID";"RegioS";"Code_1";"Naam_2";"SorteringNaam_3";"Inwonertal_54"
"306";"GM0289    ";"GM0289    ";"Wageningen                                        ";"Wageningen                                        ";"   40960"
"307";"GM0629    ";"GM0629    ";"Wassenaar                                         ";"Wassenaar                                         ";"   27093"
"308";"GM0852    ";"GM0852    ";"Waterland                                         ";"Waterland                                         ";"   17609"
"309";"GM0988    ";"GM0988    ";"Weert                                             ";"Weert                                             ";"   50872"
"310";"GM1960    ";"GM1960    ";"West Betuwe                                       ";"West Betuwe                                       ";"   52720"
"311";"GM0668    ";"GM0668    ";"West Maas en Waal                                 ";"West Maas en Waal                                 ";"   20065"
"312";"GM1969    ";"GM1969    ";"Westerkwartier                                    ";"Westerkwartier                                    ";"   64946"
"313";"GM1701    ";"GM1701    ";"Westerveld                                        ";"Westerveld                                        ";"   19860"
"314";"GM0293    ";"GM0293    ";"Westervoort                                       ";"Westervoort                                       ";"   15114"
"315";"GM1950    ";"GM1950    ";"Westerwolde                                       ";"Westerwolde                                       ";"   26537"
"316";"GM1783    ";"GM1783    ";"Westland                                          ";"Westland                                          ";"  114887"
"317";"GM0098    ";"GM0098    ";"Weststellingwerf                                  ";"Weststellingwerf                                  ";"   26467"
"318";"GM0189    ";"GM0189    ";"Wierden                                           ";"Wierden                                           ";"   24862"
"319";"GM0296    ";"GM0296    ";"Wijchen                                           ";"Wijchen                                           ";"   41537"
"320";"GM1696    ";"GM1696    ";"Wijdemeren                                        ";"Wijdemeren                                        ";"   24659"
"321";"GM0352    ";"GM0352    ";"Wijk bij Duurstede                                ";"Wijk bij Duurstede                                ";"   23995"
"322";"GM0294    ";"GM0294    ";"Winterswijk                                       ";"Winterswijk                                       ";"   29253"
"323";"GM0873    ";"GM0873    ";"Woensdrecht                                       ";"Woensdrecht                                       ";"   22191"
"324";"GM0632    ";"GM0632    ";"Woerden                                           ";"Woerden                                           ";"   53244"
"325";"GM1690    ";"GM1690    ";"De Wolden                                         ";"Wolden De                                         ";"   24602"
"326";"GM0880    ";"GM0880    ";"Wormerland                                        ";"Wormerland                                        ";"   16612"
"327";"GM0351    ";"GM0351    ";"Woudenberg                                        ";"Woudenberg                                        ";"   14358"
"328";"GM0479    ";"GM0479    ";"Zaanstad                                          ";"Zaanstad                                          ";"  159618"
"329";"GM0297    ";"GM0297    ";"Zaltbommel                                        ";"Zaltbommel                                        ";"   30349"
"330";"GM0473    ";"GM0473    ";"Zandvoort                                         ";"Zandvoort                                         ";"   17542"
"331";"GM0050    ";"GM0050    ";"Zeewolde                                          ";"Zeewolde                                          ";"   23692"
"332";"GM0355    ";"GM0355    ";"Zeist                                             ";"Zeist                                             ";"   66629"
"333";"GM0299    ";"GM0299    ";"Zevenaar                                          ";"Zevenaar                                          ";"   45042"
"334";"GM0637    ";"GM0637    ";"Zoetermeer                                        ";"Zoetermeer                                        ";"  126998"
"335";"GM0638    ";"GM0638    ";"Zoeterwoude                                       ";"Zoeterwoude                                       ";"    9443"
"336";"GM1892    ";"GM1892    ";"Zuidplas                                          ";"Zuidplas                                          ";"   46981"
"337";"GM0879    ";"GM0879    ";"Zundert                                           ";"Zundert                                           ";"   22518"
"338";"GM0301    ";"GM0301    ";"Zutphen                                           ";"Zutphen                                           ";"   48510"
"339";"GM1896    ";"GM1896    ";"Zwartewaterland                                   ";"Zwartewaterland                                   ";"   23368"
"340";"GM0642    ";"GM0642    ";"Zwijndrecht                                       ";"Zwijndrecht                                       ";"   45018"
"341";"GM0193    ";"GM0193    ";"Zwolle                                            ";"Zwolle                                            ";"  132411"
